day_of_week,hour,active_orders,occupied_tables,estimated_occupancy,kitchen_load,bar_load,avg_preparation_time,orders_last_30_min,order_age_minutes,item_count,traffic_level,recommended_waiters,recommended_kitchen_staff,recommended_bar_staff,delay_risk
1,10,0,2,25,0,0,16,1,29,1,SCAZUT,1,1,1,SCAZUT
0,13,5,5,50,7,2,9,11,0,3,MEDIU,2,2,1,SCAZUT
5,13,2,3,24,3,0,18,2,11,2,SCAZUT,1,1,1,SCAZUT
3,20,12,10,95,14,13,13,24,7,3,RIDICAT,5,4,3,MEDIU
5,9,0,3,23,0,0,13,3,39,7,SCAZUT,1,1,1,MEDIU
6,19,1,3,20,1,0,10,0,16,6,SCAZUT,1,1,1,SCAZUT
0,15,0,3,26,0,0,29,5,24,3,SCAZUT,1,1,1,SCAZUT
6,9,1,3,20,0,0,15,1,21,5,SCAZUT,1,1,1,SCAZUT
0,15,6,4,35,7,5,10,12,31,8,MEDIU,2,2,1,MEDIU
2,11,8,7,90,6,6,10,18,38,5,RIDICAT,4,3,2,MEDIU
4,14,5,5,33,7,3,27,8,38,8,MEDIU,2,2,1,RIDICAT
5,19,0,0,29,0,0,28,5,18,6,SCAZUT,1,1,1,MEDIU
5,11,1,3,9,1,0,16,5,39,4,SCAZUT,1,1,1,SCAZUT
1,11,4,6,42,3,2,28,10,37,2,MEDIU,2,2,1,MEDIU
6,22,1,3,5,1,0,21,4,37,8,SCAZUT,1,1,1,MEDIU
4,13,8,4,36,11,7,18,11,32,7,MEDIU,3,3,1,RIDICAT
3,15,6,5,48,9,3,27,12,32,5,MEDIU,2,2,1,MEDIU
6,18,1,1,24,1,0,29,5,8,3,SCAZUT,1,1,1,SCAZUT
4,18,2,3,23,3,1,29,4,34,5,SCAZUT,1,1,1,MEDIU
6,21,0,0,17,0,0,16,1,10,5,SCAZUT,1,1,1,SCAZUT
5,16,0,2,11,0,0,11,4,39,4,SCAZUT,1,1,1,SCAZUT
5,20,2,0,17,2,2,29,3,20,1,SCAZUT,1,1,1,SCAZUT
0,16,3,1,25,4,2,26,5,34,4,SCAZUT,1,1,1,MEDIU
6,14,3,1,26,2,1,24,0,7,7,SCAZUT,1,1,1,SCAZUT
0,21,7,5,38,9,4,18,7,29,3,MEDIU,2,2,1,MEDIU
0,12,7,3,49,10,5,10,12,20,4,MEDIU,2,3,1,MEDIU
1,10,3,3,7,2,1,18,2,21,6,SCAZUT,1,1,1,SCAZUT
2,14,8,7,87,8,7,27,19,15,1,RIDICAT,4,3,2,MEDIU
5,18,0,3,13,0,0,24,4,23,8,SCAZUT,1,1,1,SCAZUT
3,9,1,2,21,1,0,25,0,34,1,SCAZUT,1,1,1,MEDIU
5,10,1,3,8,1,0,21,1,4,3,SCAZUT,1,1,1,SCAZUT
0,22,0,0,7,0,0,10,0,36,4,SCAZUT,1,1,1,SCAZUT
2,21,15,12,90,16,10,11,18,34,1,RIDICAT,5,4,3,RIDICAT
5,10,0,2,21,0,0,27,0,5,5,SCAZUT,1,1,1,SCAZUT
6,22,3,0,20,3,1,20,1,34,5,SCAZUT,1,1,1,SCAZUT
5,12,2,0,22,1,0,26,4,38,7,SCAZUT,1,1,1,MEDIU
4,10,1,2,11,1,1,12,3,10,3,SCAZUT,1,1,1,SCAZUT
1,16,0,1,26,0,0,25,4,29,2,SCAZUT,1,1,1,MEDIU
2,10,3,4,61,3,2,15,10,6,5,MEDIU,2,2,1,SCAZUT
4,10,2,3,19,2,1,26,2,9,6,SCAZUT,1,1,1,SCAZUT
6,18,1,0,15,1,0,28,1,27,5,SCAZUT,1,1,1,MEDIU
6,19,2,3,19,2,1,25,3,6,3,SCAZUT,1,1,1,SCAZUT
5,10,1,1,13,1,0,10,5,1,1,SCAZUT,1,1,1,SCAZUT
6,20,0,2,22,0,0,19,4,25,4,SCAZUT,1,1,1,SCAZUT
6,17,3,0,17,3,2,27,2,10,3,SCAZUT,1,1,1,SCAZUT
3,13,7,7,39,11,3,23,12,14,2,MEDIU,2,3,1,MEDIU
2,19,3,8,43,4,2,23,13,29,1,MEDIU,3,2,1,SCAZUT
0,18,2,2,23,2,1,20,4,23,2,SCAZUT,1,1,1,SCAZUT
4,16,1,3,16,1,0,27,2,0,3,SCAZUT,1,1,1,SCAZUT
3,13,3,7,47,2,1,27,8,7,4,MEDIU,2,2,1,SCAZUT
3,18,6,8,60,5,3,21,12,1,4,MEDIU,3,2,1,SCAZUT
0,12,4,8,62,6,2,13,5,16,3,MEDIU,3,2,1,MEDIU
4,20,2,0,11,2,1,23,3,10,4,SCAZUT,1,1,1,SCAZUT
6,21,1,2,10,1,1,27,5,37,2,SCAZUT,1,1,1,MEDIU
1,20,4,3,31,5,4,29,8,26,3,MEDIU,2,2,1,MEDIU
4,11,6,7,32,7,2,23,13,8,1,MEDIU,2,2,1,SCAZUT
6,21,2,0,27,2,2,23,4,24,6,SCAZUT,1,1,1,SCAZUT
4,11,4,5,60,6,1,27,8,34,7,MEDIU,2,2,1,RIDICAT
2,14,8,8,30,10,6,20,14,13,6,MEDIU,4,3,1,MEDIU
3,19,4,6,46,6,2,19,9,39,5,MEDIU,2,2,1,MEDIU
5,20,3,3,10,3,2,17,2,36,6,SCAZUT,1,1,1,MEDIU
6,20,0,1,19,0,0,24,5,25,6,SCAZUT,1,1,1,MEDIU
6,9,3,0,30,4,2,27,0,27,2,SCAZUT,1,1,1,MEDIU
0,16,2,0,24,2,2,20,0,39,5,SCAZUT,1,1,1,SCAZUT
5,9,3,3,5,4,3,24,1,18,4,SCAZUT,1,1,1,SCAZUT
0,15,0,2,12,0,0,16,5,25,6,SCAZUT,1,1,1,MEDIU
5,20,1,0,28,0,0,17,5,35,6,SCAZUT,1,1,1,MEDIU
2,16,7,4,59,9,4,21,11,32,2,MEDIU,2,2,1,MEDIU
4,10,2,0,30,3,2,26,4,16,8,SCAZUT,1,1,1,MEDIU
3,23,2,3,26,3,2,23,3,7,5,SCAZUT,1,1,1,SCAZUT
0,20,8,8,44,9,5,25,10,0,5,MEDIU,4,2,1,MEDIU
1,17,3,2,7,4,2,19,4,13,5,SCAZUT,1,1,1,SCAZUT
1,14,8,4,45,12,4,14,8,15,6,MEDIU,3,3,1,RIDICAT
1,11,3,8,61,2,3,9,14,30,6,MEDIU,3,2,1,MEDIU
4,18,7,5,61,11,7,16,7,25,4,MEDIU,2,3,1,MEDIU
6,12,3,3,22,3,2,29,0,11,8,SCAZUT,1,1,1,SCAZUT
0,22,0,0,26,0,0,19,1,39,5,SCAZUT,1,1,1,SCAZUT
1,16,2,3,24,2,1,14,2,26,6,SCAZUT,1,1,1,MEDIU
2,20,6,4,38,8,6,16,14,15,7,MEDIU,2,2,1,MEDIU
6,20,1,1,20,0,0,28,0,33,6,SCAZUT,1,1,1,MEDIU
6,23,2,0,17,2,0,16,0,30,2,SCAZUT,1,1,1,SCAZUT
3,18,5,5,65,8,3,8,13,26,2,MEDIU,2,2,1,MEDIU
2,14,5,5,50,6,4,10,13,24,5,MEDIU,2,2,1,MEDIU
3,12,8,5,56,10,8,10,14,5,3,MEDIU,3,3,2,MEDIU
2,15,5,8,48,6,3,22,9,23,8,MEDIU,3,2,1,MEDIU
3,13,3,4,45,4,2,10,9,13,3,MEDIU,2,2,1,SCAZUT
3,11,3,6,65,2,2,10,5,6,5,MEDIU,2,2,1,SCAZUT
4,12,3,2,12,4,2,12,1,8,3,SCAZUT,1,1,1,SCAZUT
0,9,2,3,19,3,1,12,4,34,3,SCAZUT,1,1,1,SCAZUT
4,22,2,2,20,2,0,17,4,23,7,SCAZUT,1,1,1,SCAZUT
2,12,8,7,98,11,4,17,25,30,1,RIDICAT,4,4,2,RIDICAT
5,23,2,0,29,3,1,8,3,35,6,SCAZUT,1,1,1,MEDIU
1,21,6,4,40,9,3,10,11,27,4,MEDIU,2,2,1,MEDIU
4,16,2,3,11,1,1,28,0,29,8,SCAZUT,1,1,1,MEDIU
2,23,2,0,9,3,0,11,0,18,5,SCAZUT,1,1,1,SCAZUT
1,22,1,0,9,1,0,17,0,31,6,SCAZUT,1,1,1,MEDIU
3,9,0,1,6,0,0,23,2,11,4,SCAZUT,1,1,1,SCAZUT
6,16,0,0,29,0,0,22,5,15,1,SCAZUT,1,1,1,SCAZUT
1,22,1,3,17,1,1,13,5,40,1,SCAZUT,1,1,1,SCAZUT
5,11,3,2,11,4,3,14,2,7,4,SCAZUT,1,1,1,SCAZUT
5,21,0,1,30,0,0,15,2,0,1,SCAZUT,1,1,1,SCAZUT
4,23,2,0,12,2,1,18,1,40,1,SCAZUT,1,1,1,SCAZUT
0,19,8,7,36,9,5,25,7,22,8,MEDIU,3,2,1,RIDICAT
5,14,3,2,28,3,1,30,1,28,5,SCAZUT,1,1,1,MEDIU
4,23,1,2,15,1,1,27,5,35,3,SCAZUT,1,1,1,MEDIU
0,12,5,5,64,6,5,24,10,24,3,MEDIU,2,2,1,MEDIU
0,19,5,8,34,7,2,29,13,31,3,MEDIU,3,2,1,MEDIU
4,17,3,2,8,3,1,12,0,11,1,SCAZUT,1,1,1,SCAZUT
1,11,4,3,32,5,2,23,14,33,5,MEDIU,2,2,1,MEDIU
0,19,7,8,34,11,3,23,5,5,8,MEDIU,3,3,1,MEDIU
6,9,3,2,30,2,2,24,5,2,2,SCAZUT,1,1,1,SCAZUT
6,17,1,0,8,1,0,14,5,33,4,SCAZUT,1,1,1,SCAZUT
4,13,8,3,52,11,5,11,12,10,3,MEDIU,3,3,1,MEDIU
4,20,8,4,64,9,5,18,14,35,6,MEDIU,3,2,1,RIDICAT
6,19,3,2,24,3,1,25,1,16,6,SCAZUT,1,1,1,MEDIU
3,22,3,8,32,4,2,17,9,0,5,MEDIU,3,2,1,SCAZUT
1,14,3,8,47,3,2,26,13,9,2,MEDIU,3,2,1,SCAZUT
0,22,1,1,13,1,0,16,2,19,2,SCAZUT,1,1,1,SCAZUT
4,20,0,2,30,0,0,30,3,36,2,SCAZUT,1,1,1,MEDIU
4,17,3,0,29,4,2,21,0,26,2,SCAZUT,1,1,1,SCAZUT
6,15,3,0,14,2,2,12,4,20,4,SCAZUT,1,1,1,SCAZUT
1,9,3,0,12,3,2,12,3,21,2,SCAZUT,1,1,1,SCAZUT
3,9,5,3,55,5,4,12,13,30,4,MEDIU,2,2,1,MEDIU
3,20,7,7,63,7,4,21,8,20,2,MEDIU,2,2,1,MEDIU
0,21,5,5,42,5,4,17,10,10,6,MEDIU,2,2,1,MEDIU
4,22,3,0,12,4,1,10,1,7,1,SCAZUT,1,1,1,SCAZUT
1,12,3,5,37,3,1,14,9,34,4,MEDIU,2,2,1,SCAZUT
1,16,7,8,39,7,7,24,5,2,5,MEDIU,3,2,1,SCAZUT
1,9,1,2,6,1,0,20,3,17,6,SCAZUT,1,1,1,SCAZUT
6,11,2,3,12,2,1,18,3,31,2,SCAZUT,1,1,1,SCAZUT
1,14,7,8,31,7,5,18,5,31,7,MEDIU,3,2,1,MEDIU
5,13,2,2,16,2,2,24,5,17,1,SCAZUT,1,1,1,SCAZUT
5,16,0,2,12,0,0,12,1,5,7,SCAZUT,1,1,1,SCAZUT
4,15,1,1,18,1,0,25,2,8,4,SCAZUT,1,1,1,SCAZUT
5,12,1,2,27,1,1,21,5,9,3,SCAZUT,1,1,1,SCAZUT
2,10,1,2,9,0,0,21,5,26,5,SCAZUT,1,1,1,SCAZUT
3,16,4,3,38,3,4,27,7,17,4,MEDIU,2,2,1,MEDIU
4,15,0,2,7,0,0,27,5,30,6,SCAZUT,1,1,1,MEDIU
1,20,6,4,40,6,4,8,8,17,7,MEDIU,2,2,1,MEDIU
1,14,3,4,58,3,1,22,14,15,7,MEDIU,2,2,1,SCAZUT
3,9,8,5,55,13,6,25,14,33,1,MEDIU,3,3,1,RIDICAT
4,11,6,3,45,7,7,9,13,35,7,MEDIU,2,2,1,MEDIU
4,9,2,3,17,2,1,13,2,27,5,SCAZUT,1,1,1,SCAZUT
4,9,3,3,7,3,1,26,5,34,3,SCAZUT,1,1,1,MEDIU
3,21,6,3,41,7,5,14,12,29,2,MEDIU,2,2,1,MEDIU
2,18,8,8,37,7,6,19,6,5,7,MEDIU,4,2,1,MEDIU
5,13,7,6,32,11,5,29,7,9,3,MEDIU,2,3,1,MEDIU
6,12,0,3,14,0,0,17,2,40,3,SCAZUT,1,1,1,SCAZUT
0,12,3,7,46,3,3,25,5,0,8,MEDIU,2,2,1,SCAZUT
1,14,6,6,58,8,2,25,6,17,4,MEDIU,2,2,1,MEDIU
0,13,3,8,52,2,1,26,5,38,5,MEDIU,3,2,1,MEDIU
2,10,0,3,10,0,0,30,1,38,3,SCAZUT,1,1,1,MEDIU
3,19,3,5,50,4,3,21,10,35,2,MEDIU,2,2,1,SCAZUT
2,23,0,2,15,0,0,14,4,39,1,SCAZUT,1,1,1,SCAZUT
0,10,8,8,48,10,5,24,11,36,6,MEDIU,4,3,1,RIDICAT
1,23,3,1,24,4,3,8,1,7,1,SCAZUT,1,1,1,SCAZUT
3,11,7,6,56,7,5,28,5,13,1,MEDIU,2,2,1,MEDIU
5,14,2,0,14,2,1,8,2,7,6,SCAZUT,1,1,1,SCAZUT
2,20,4,4,51,6,3,23,10,2,3,MEDIU,2,2,1,SCAZUT
3,12,13,10,91,11,10,26,23,20,1,RIDICAT,5,4,3,RIDICAT
1,18,3,4,47,3,2,25,5,10,7,MEDIU,2,2,1,SCAZUT
1,11,8,5,32,9,6,15,9,23,8,MEDIU,3,2,1,MEDIU
6,17,2,1,8,3,2,10,2,28,1,SCAZUT,1,1,1,SCAZUT
6,23,1,2,20,1,0,18,5,9,2,SCAZUT,1,1,1,SCAZUT
6,12,0,3,17,0,0,17,5,2,2,SCAZUT,1,1,1,SCAZUT
2,22,0,2,5,0,0,14,4,20,4,SCAZUT,1,1,1,SCAZUT
1,17,2,3,26,2,1,11,0,0,2,SCAZUT,1,1,1,SCAZUT
1,19,5,4,48,5,2,27,14,21,8,MEDIU,2,2,1,MEDIU
0,12,6,8,33,6,2,20,6,11,8,MEDIU,3,2,1,MEDIU
4,19,5,4,64,8,5,22,6,36,3,MEDIU,2,2,1,MEDIU
0,22,3,2,26,4,2,15,5,14,3,SCAZUT,1,1,1,SCAZUT
6,16,3,1,27,3,3,18,5,29,8,SCAZUT,1,1,1,MEDIU
0,10,3,5,60,4,1,19,12,38,3,MEDIU,2,2,1,SCAZUT
4,11,8,3,50,11,8,25,13,29,7,MEDIU,3,3,2,RIDICAT
4,21,1,1,20,0,0,30,3,37,7,SCAZUT,1,1,1,MEDIU
6,21,1,1,26,0,1,26,5,31,2,SCAZUT,1,1,1,MEDIU
4,22,0,3,10,0,0,11,2,38,7,SCAZUT,1,1,1,MEDIU
2,23,0,1,9,0,0,8,4,9,3,SCAZUT,1,1,1,SCAZUT
3,17,7,7,58,6,7,17,8,36,5,MEDIU,2,2,1,MEDIU
3,19,7,3,62,10,7,9,11,23,1,MEDIU,2,3,1,MEDIU
0,19,2,0,12,2,1,18,3,24,7,SCAZUT,1,1,1,SCAZUT
3,21,8,4,60,7,5,19,7,26,3,MEDIU,3,2,1,MEDIU
2,12,3,3,31,4,2,21,7,8,2,MEDIU,2,2,1,SCAZUT
1,21,8,7,57,7,6,25,14,28,7,MEDIU,3,2,1,RIDICAT
2,15,6,7,30,7,5,30,14,32,5,MEDIU,2,2,1,MEDIU
3,19,3,7,60,2,2,30,10,5,3,MEDIU,2,2,1,SCAZUT
5,16,0,0,12,0,0,29,3,4,5,SCAZUT,1,1,1,SCAZUT
4,9,0,3,19,0,0,18,4,26,6,SCAZUT,1,1,1,MEDIU
6,17,1,0,27,1,0,26,4,16,1,SCAZUT,1,1,1,SCAZUT
5,23,0,2,30,0,0,10,5,8,2,SCAZUT,1,1,1,SCAZUT
6,16,1,2,13,0,0,13,2,37,3,SCAZUT,1,1,1,SCAZUT
5,22,1,2,30,1,0,24,5,2,6,SCAZUT,1,1,1,SCAZUT
0,12,6,6,54,8,5,13,8,13,6,MEDIU,2,2,1,MEDIU
0,16,0,1,19,0,0,25,3,14,7,SCAZUT,1,1,1,SCAZUT
5,20,2,1,21,1,2,22,3,24,6,SCAZUT,1,1,1,SCAZUT
4,9,2,3,24,3,1,16,5,6,5,SCAZUT,1,1,1,SCAZUT
5,20,1,1,21,1,1,18,2,35,1,SCAZUT,1,1,1,SCAZUT
5,8,0,3,8,0,0,15,4,18,5,SCAZUT,1,1,1,SCAZUT
1,9,0,0,24,0,0,27,5,40,2,SCAZUT,1,1,1,MEDIU
5,11,1,3,26,1,1,11,5,11,5,SCAZUT,1,1,1,SCAZUT
2,22,3,2,29,4,2,18,3,16,3,SCAZUT,1,1,1,SCAZUT
6,10,0,3,17,0,0,16,2,11,8,SCAZUT,1,1,1,SCAZUT
0,23,3,1,25,2,2,21,3,13,2,SCAZUT,1,1,1,SCAZUT
3,16,0,0,7,0,0,8,4,31,3,SCAZUT,1,1,1,SCAZUT
5,8,3,2,9,3,2,8,5,32,8,SCAZUT,1,1,1,MEDIU
3,21,9,11,79,10,8,23,12,7,6,RIDICAT,5,4,3,RIDICAT
2,17,3,8,35,3,3,10,10,29,5,MEDIU,3,2,1,SCAZUT
5,14,0,3,26,0,0,11,1,40,6,SCAZUT,1,1,1,MEDIU
3,10,8,4,38,7,7,26,5,15,8,MEDIU,3,2,1,RIDICAT
3,10,6,7,58,5,2,9,5,25,2,MEDIU,2,2,1,MEDIU
1,22,1,0,6,0,0,23,5,39,1,SCAZUT,1,1,1,SCAZUT
1,12,4,8,33,6,1,27,9,10,2,MEDIU,3,2,1,MEDIU
6,11,3,1,7,3,3,29,1,25,6,SCAZUT,1,1,1,MEDIU
0,12,4,3,41,3,2,21,10,10,6,MEDIU,2,2,1,SCAZUT
4,13,4,7,32,3,4,27,7,24,3,MEDIU,2,2,1,MEDIU
0,23,0,0,10,0,0,17,0,26,8,SCAZUT,1,1,1,MEDIU
5,12,1,2,21,1,1,27,3,2,3,SCAZUT,1,1,1,SCAZUT
5,23,2,2,18,2,1,24,0,6,6,SCAZUT,1,1,1,SCAZUT
6,15,1,2,6,0,0,23,1,31,3,SCAZUT,1,1,1,SCAZUT
1,9,2,2,11,2,1,22,3,2,2,SCAZUT,1,1,1,SCAZUT
5,9,1,0,20,0,1,22,4,37,6,SCAZUT,1,1,1,MEDIU
3,14,11,7,85,9,10,14,15,24,4,RIDICAT,4,3,3,MEDIU
0,23,0,3,9,0,0,20,1,23,3,SCAZUT,1,1,1,SCAZUT
3,14,12,8,86,9,10,16,14,8,2,RIDICAT,5,3,3,MEDIU
6,22,3,1,29,2,1,13,2,40,3,SCAZUT,1,1,1,SCAZUT
4,15,3,3,11,3,2,8,4,27,4,SCAZUT,1,1,1,SCAZUT
1,18,7,4,39,11,5,9,14,2,8,MEDIU,2,3,1,MEDIU
5,9,3,3,30,4,2,15,5,5,1,SCAZUT,1,1,1,SCAZUT
5,21,1,2,14,1,0,23,1,19,3,SCAZUT,1,1,1,SCAZUT
5,22,3,3,29,4,2,19,1,40,8,SCAZUT,1,1,1,MEDIU
5,8,3,2,21,3,3,30,0,39,4,SCAZUT,1,1,1,MEDIU
6,10,0,2,6,0,0,9,0,23,6,SCAZUT,1,1,1,SCAZUT
1,10,1,2,12,0,0,26,4,13,4,SCAZUT,1,1,1,SCAZUT
2,19,7,8,57,5,4,22,9,31,2,MEDIU,3,2,1,MEDIU
3,17,7,5,34,11,5,10,8,25,3,MEDIU,2,3,1,MEDIU
2,10,1,2,8,0,0,14,5,33,1,SCAZUT,1,1,1,SCAZUT
2,21,6,5,56,8,2,14,12,4,1,MEDIU,2,2,1,SCAZUT
6,15,3,2,25,4,2,29,5,33,8,SCAZUT,1,1,1,MEDIU
3,17,5,4,46,6,5,9,8,9,6,MEDIU,2,2,1,MEDIU
2,22,7,4,64,6,3,30,9,9,3,MEDIU,2,2,1,MEDIU
1,11,5,7,38,5,2,25,12,2,6,MEDIU,2,2,1,MEDIU
2,12,15,11,75,16,17,20,20,31,3,RIDICAT,5,4,3,RIDICAT
3,18,3,8,64,3,2,23,13,18,3,MEDIU,3,2,1,SCAZUT
6,22,0,3,6,0,0,8,1,25,4,SCAZUT,1,1,1,SCAZUT
3,19,5,3,42,6,5,16,14,12,1,MEDIU,2,2,1,SCAZUT
0,22,3,1,20,4,2,9,2,23,7,SCAZUT,1,1,1,SCAZUT
1,21,6,5,30,6,3,22,9,35,2,MEDIU,2,2,1,MEDIU
1,22,6,5,40,8,4,26,11,38,2,MEDIU,2,2,1,MEDIU
1,14,6,7,51,9,5,20,6,5,1,MEDIU,2,2,1,SCAZUT
3,16,4,7,59,5,2,13,14,24,5,MEDIU,2,2,1,MEDIU
4,23,2,2,20,2,1,8,4,9,5,SCAZUT,1,1,1,SCAZUT
2,23,2,3,10,3,1,8,3,7,5,SCAZUT,1,1,1,SCAZUT
3,10,7,6,57,9,5,30,9,7,6,MEDIU,2,2,1,MEDIU
4,8,1,0,9,1,0,19,2,10,1,SCAZUT,1,1,1,SCAZUT
2,19,13,7,83,16,14,24,16,12,3,RIDICAT,4,4,3,MEDIU
6,11,2,2,26,2,1,19,2,6,6,SCAZUT,1,1,1,SCAZUT
6,12,1,2,16,1,1,13,3,6,4,SCAZUT,1,1,1,SCAZUT
1,15,0,3,19,0,0,8,0,30,6,SCAZUT,1,1,1,MEDIU
2,19,6,7,63,5,3,11,10,14,3,MEDIU,2,2,1,SCAZUT
6,12,2,1,11,3,1,11,1,4,1,SCAZUT,1,1,1,SCAZUT
6,23,0,1,8,0,0,9,0,30,2,SCAZUT,1,1,1,SCAZUT
2,9,2,0,29,3,2,14,0,37,4,SCAZUT,1,1,1,SCAZUT
1,19,0,1,28,0,0,13,2,32,4,SCAZUT,1,1,1,SCAZUT
4,10,0,1,27,0,0,25,1,0,2,SCAZUT,1,1,1,SCAZUT
1,23,1,3,26,0,0,20,0,27,4,SCAZUT,1,1,1,SCAZUT
4,15,0,2,8,0,0,19,3,18,1,SCAZUT,1,1,1,SCAZUT
0,18,3,6,48,4,1,22,12,14,7,MEDIU,2,2,1,SCAZUT
2,21,3,6,53,2,2,29,7,6,7,MEDIU,2,2,1,SCAZUT
3,10,1,3,17,1,0,13,5,4,6,SCAZUT,1,1,1,SCAZUT
1,18,7,6,37,10,6,16,8,37,5,MEDIU,2,3,1,MEDIU
6,20,3,3,20,3,3,11,4,7,5,SCAZUT,1,1,1,SCAZUT
3,23,1,0,8,0,0,29,5,1,3,SCAZUT,1,1,1,SCAZUT
3,18,5,7,36,6,4,23,6,29,4,MEDIU,2,2,1,MEDIU
2,23,7,5,64,10,5,8,10,2,7,MEDIU,2,3,1,MEDIU
0,20,5,6,58,4,2,29,12,19,3,MEDIU,2,2,1,MEDIU
3,21,5,8,54,7,4,23,12,35,8,MEDIU,3,2,1,MEDIU
3,13,6,5,61,10,5,19,14,18,6,MEDIU,2,3,1,MEDIU
0,8,1,2,16,1,1,28,5,21,7,SCAZUT,1,1,1,MEDIU
0,21,5,6,52,6,2,28,5,19,2,MEDIU,2,2,1,MEDIU
5,10,0,2,10,0,0,29,0,27,7,SCAZUT,1,1,1,MEDIU
2,8,7,3,50,9,4,11,11,31,2,MEDIU,2,2,1,MEDIU
5,14,3,2,10,3,3,14,4,31,2,SCAZUT,1,1,1,SCAZUT
6,14,2,0,14,2,1,10,4,37,2,SCAZUT,1,1,1,SCAZUT
4,18,3,7,63,3,2,10,12,19,5,MEDIU,2,2,1,SCAZUT
3,18,6,6,46,7,5,25,14,11,1,MEDIU,2,2,1,MEDIU
5,13,4,8,59,6,3,27,9,27,1,MEDIU,3,2,1,MEDIU
4,14,6,4,45,8,6,21,7,26,6,MEDIU,2,2,1,MEDIU
6,10,3,2,14,2,2,15,5,25,4,SCAZUT,1,1,1,SCAZUT
0,12,3,4,49,3,3,21,12,2,4,MEDIU,2,2,1,SCAZUT
1,16,0,2,30,0,0,9,2,31,1,SCAZUT,1,1,1,SCAZUT
0,10,2,0,18,2,2,20,2,8,4,SCAZUT,1,1,1,SCAZUT
0,11,6,3,45,5,6,18,14,37,7,MEDIU,2,2,1,MEDIU
6,15,1,1,8,0,0,21,1,16,1,SCAZUT,1,1,1,SCAZUT
3,19,5,7,57,7,5,12,12,23,8,MEDIU,2,2,1,MEDIU
5,19,0,0,28,0,0,29,5,15,5,SCAZUT,1,1,1,SCAZUT
4,20,8,8,53,10,4,22,6,24,1,MEDIU,4,3,1,MEDIU
3,16,3,4,49,4,1,22,8,40,6,MEDIU,2,2,1,MEDIU
6,21,2,0,29,2,1,18,3,27,2,SCAZUT,1,1,1,SCAZUT
6,13,0,2,18,0,0,18,4,29,1,SCAZUT,1,1,1,SCAZUT
6,9,3,1,5,2,1,26,3,5,2,SCAZUT,1,1,1,SCAZUT
1,15,3,2,19,4,1,13,3,37,6,SCAZUT,1,1,1,MEDIU
6,17,0,3,16,0,0,26,1,14,1,SCAZUT,1,1,1,SCAZUT
0,15,3,1,13,4,1,27,5,27,5,SCAZUT,1,1,1,MEDIU
1,10,1,0,5,1,1,22,5,31,2,SCAZUT,1,1,1,SCAZUT
1,14,5,5,61,4,5,27,11,13,5,MEDIU,2,2,1,SCAZUT
5,14,4,6,39,4,2,27,5,28,4,MEDIU,2,2,1,MEDIU
2,22,0,3,9,0,0,14,2,24,7,SCAZUT,1,1,1,SCAZUT
5,16,0,0,6,0,0,19,2,38,1,SCAZUT,1,1,1,SCAZUT
0,16,5,6,53,8,4,26,7,11,5,MEDIU,2,2,1,MEDIU
1,23,3,1,7,4,2,16,2,7,6,SCAZUT,1,1,1,SCAZUT
0,12,5,8,53,5,5,27,11,16,6,MEDIU,3,2,1,MEDIU
3,13,15,8,100,24,13,22,25,3,4,RIDICAT,5,4,3,MEDIU
1,9,1,0,20,0,0,11,2,31,1,SCAZUT,1,1,1,SCAZUT
3,19,15,10,72,21,7,19,25,5,4,RIDICAT,5,4,2,MEDIU
6,17,1,2,23,1,0,8,5,33,3,SCAZUT,1,1,1,SCAZUT
3,10,6,8,36,4,5,29,10,7,7,MEDIU,3,2,1,MEDIU
2,11,10,7,70,15,9,22,19,40,5,RIDICAT,4,4,3,RIDICAT
4,8,0,3,15,0,0,26,5,8,4,SCAZUT,1,1,1,SCAZUT
6,9,2,0,28,2,1,10,0,25,5,SCAZUT,1,1,1,SCAZUT
1,15,3,3,43,3,2,28,7,9,2,MEDIU,2,2,1,SCAZUT
2,23,8,5,38,11,8,24,10,12,8,MEDIU,3,3,2,RIDICAT
3,20,12,11,92,17,12,27,13,11,7,RIDICAT,5,4,3,RIDICAT
5,21,0,2,19,0,0,12,5,31,2,SCAZUT,1,1,1,SCAZUT
2,22,3,6,49,5,2,17,7,15,7,MEDIU,2,2,1,MEDIU
2,9,0,0,21,0,0,26,3,16,6,SCAZUT,1,1,1,MEDIU
2,10,0,3,10,0,0,21,1,19,6,SCAZUT,1,1,1,SCAZUT
4,22,2,2,30,1,0,27,1,16,2,SCAZUT,1,1,1,SCAZUT
3,8,3,0,5,4,2,20,1,38,8,SCAZUT,1,1,1,MEDIU
2,19,12,7,73,9,5,8,14,12,1,RIDICAT,4,3,2,MEDIU
1,23,1,3,25,0,0,22,4,9,8,SCAZUT,1,1,1,SCAZUT
3,8,1,1,28,1,0,8,5,28,4,SCAZUT,1,1,1,SCAZUT
1,17,3,5,30,4,2,21,6,31,5,MEDIU,2,2,1,SCAZUT
0,23,3,3,12,2,1,26,5,20,2,SCAZUT,1,1,1,SCAZUT
2,21,9,10,87,12,3,17,19,12,8,RIDICAT,5,4,2,MEDIU
2,22,7,4,51,10,6,22,14,8,5,MEDIU,2,3,1,MEDIU
5,20,2,3,30,2,1,10,1,30,3,SCAZUT,1,1,1,SCAZUT
1,14,7,6,36,11,5,15,11,13,1,MEDIU,2,3,1,MEDIU
